id,status,created_at,updated_at,created_by,updated_by,latitude,longitude,Time,Survey Date,Fast Notes,Number,Specific Location,Surveyed By,Address,Sales and Technician Notes,Before Photos,High Point,Inch Feet,Slice Length,Low Point,Additional Notes (If needed),Date Completed,Completed By,Completed Photo,Technician Notes
6cf3a453-34b6-499a-a616-dec6d09250c7,Replace & Repair,2024-09-11T20:40:10Z,2024-09-11T20:40:10Z,Cody Crawford,Cody Crawford,32.684021831845605,-117.06376623362303,12:31,2024-09-11,Cracks or holes in panel (Replace),513,Cracked Panel RR,Cody,"6068, Dockside St, San Diego, CA, 92139",No Additional Notes,"c6a09574-922a-4dd4-ab1f-1124cb0d3f17, 0d98a256-ce6a-4e68-a3ff-5e5825fe8fe5",,,,,,,,,
a327d283-b40e-43bd-8519-702c26561594,Replace & Repair,2024-09-11T23:05:03Z,2024-09-11T23:05:03Z,Kevin Kraft,Kevin Kraft,32.68572172206149,-117.06439889967443,13:21,2024-09-11,Storm Drain Lifted/Sidewalk Sunk (Replace),76,Path of Travel,Kevin Kraft,"6043, Sea Foam Ct, San Diego, CA, 92139",No Additional Notes,"5ae20b37-704b-4ad4-97c9-03552c9fa940, 7c9f8444-ce0f-4b8c-9e11-e3b5a56436aa, 83b55139-dffc-4d85-a52a-39146c81f300",0,0,0,0,,,,,
0274a419-a43e-4f0b-aa63-6f2440ffe2ca,Replace & Repair,2024-09-12T21:16:10Z,2024-09-12T21:16:10Z,Masoud Rahmani,Masoud Rahmani,32.68667295792724,-117.05818388611078,10:29,2024-09-12,Sidewalk lift above project perimeters (Replace),314,Transverse,Masoud,"6100–6198, Coral Gum Ct, San Diego, CA, 92139",No Additional Notes,"b9f4b3b9-f8d4-40f7-a8e4-a512abf666b4, 1ed2d6fe-2ea2-4264-9bb3-194cdacd2845",,,,,,,,,
5d729dfa-9eb3-4e4d-9fc3-4ac90d46854c,Replace & Repair,2024-09-12T21:16:26Z,2024-09-12T21:16:26Z,Masoud Rahmani,Masoud Rahmani,32.687961103069824,-117.06075008958578,13:05,2024-09-12,Cracks or holes in panel (Replace),344,Cracked Panel RR,Masoud,"1691, Pine Bluff Ln, San Diego, CA, 92139",No Additional Notes,"c84bfa36-90fe-4a55-950b-a78d78dda4c1, 07e3280a-a0b3-4051-90bc-53bf887a68be",,,,,,,,,
0073ccb3-c97e-4952-8c97-8e847935574d,Replace & Repair,2024-09-12T21:46:42Z,2024-09-12T21:46:42Z,Cody Crawford,Cody Crawford,32.68379354067169,-117.06287909299137,09:32,2024-09-12,Cracks or holes in panel (Replace),531,Cracked Panel RR,Cody,"6087, Dockside St, San Diego, CA, 92139",Misc (See Additional Notes),"7cc859b6-fb0f-4545-a74e-63cf6857ee1c, a7d8bf24-9bba-4f6e-883a-059682922f06",,,,,Cracked and sunken to storm drain,,,,
475ba725-000b-4d22-8214-286c2b4b1b70,Replace & Repair,2024-09-12T21:47:03Z,2024-09-12T21:47:03Z,Cody Crawford,Cody Crawford,32.68270343521497,-117.06250458955765,12:43,2024-09-12,Cracks or holes in panel (Replace),583,Cracked Panel RR,Cody,"1876, Sky Harbor Rd, San Diego, CA, 92139",No Additional Notes,"d28bce23-aff8-4ab6-88b5-2f4e2c8d8490, 27651169-a6a6-4007-b7c6-9840c3de3aa5",,,,,,,,,
44f37dc0-361d-405e-99aa-6d5fd0a4253b,Replace & Repair,2024-09-12T21:47:09Z,2024-09-12T21:47:09Z,Cody Crawford,Cody Crawford,32.68224063726195,-117.06249721348286,13:10,2024-09-12,Cracks or holes in panel (Replace),601,Cracked Panel RR,Cody,"6028, Rock Island Rd, San Diego, CA, 92139",No Additional Notes,"0a8d3066-15aa-4683-8212-d9cdb4254a9b, c97ed94b-3db3-466b-81d3-44603f8acd18",,,,,,,,,
36cc430f-763b-4432-b75e-7c1849495ddc,Replace & Repair,2024-09-12T22:55:18Z,2024-09-12T22:55:18Z,Kevin Kraft,Kevin Kraft,32.68244917883154,-117.0583823695779,08:39,2024-09-12,Storm Drain Lifted/Sidewalk Sunk (Replace),135,Path of Travel,Kevin Kraft,"2020, Pacific Mist Ct, San Diego, CA, 92139",Misc (See Additional Notes),"ed884486-6433-41be-b5e7-2be6ca09c23a, b2c68951-0903-48e6-baad-2617989387e2, d96ec4a3-8dfd-4207-97c9-dc4b996a97c3",0,0,0,0,Both sides of the storm drain is lifted ,,,,
5354a5b9-7022-4961-914e-853f283dbe41,Replace & Repair,2024-09-12T22:55:25Z,2024-09-12T22:55:25Z,Kevin Kraft,Kevin Kraft,32.68261285117025,-117.05847155302763,09:04,2024-09-12,Misc (See Additional Notes),146,Sidewalk Lifted Over Driveway,Kevin Kraft,"2021, Pacific Mist Ct, San Diego, CA, 92139",Misc (See Additional Notes),"de965a06-0bf6-4508-9c27-c39f125848cc, 186d5d94-a8f3-4f98-a0cc-4aaba0c700a4, 962c18ac-68c5-4806-a0aa-8cc096d64bd7",0,0,0,0,( 11x2x17.5 ),,,,
7d57d783-66ef-4558-8fa2-4ee12713a4f5,Replace & Repair,2024-09-12T22:55:26Z,2024-09-12T22:55:26Z,Kevin Kraft,Kevin Kraft,32.682645867795316,-117.05854900181292,09:14,2024-09-12,Misc (See Additional Notes),147,Sidewalk Lifted Over Driveway,Kevin Kraft,"2007, Pacific Mist Ct, San Diego, CA, 92139",Butterfly Slice,"eba58f8c-e132-4c6c-be51-caaea69ffc2a, 26958467-680a-4e08-be64-9421a7d56215, b4a70ff4-5b11-4e92-8747-17a48411aaf9, 944f3ce9-af44-48e5-8d40-b60d9b57a688",0,0,0,0,( 14 x0 x19 ),,,,
